Nama_Bahan,Satuan,Harga_Rata_Rata,Bulan,Tahun
Indomie Rasa Kari Ayam / bungkus,Bungkus,2298,Juni,2018
Cabe Merah Besar Keriting / kg,kg,29597,Juni,2018
Cabe Merah Besar,kg,30580,Juni,2018
Cabe Rawit / kg,kg,31426,Juni,2018
Bawang Merah,kg,27553,Juni,2018
Bawang Putih,kg,20849,Juni,2018
Ikan Asin Teri / kg,kg,63947,Juni,2018
Kacang Hijau / kg,kg,18270,Juni,2018
Kacang Tanah / kg,kg,22602,Juni,2018
Ketela Pohon / kg,kg,3591,Juni,2018
Kol/kubis (/kg),kg,6640,Juni,2018
Kentang / kg,kg,12042,Juni,2018
Tomat / kg,kg,6985,Juni,2018
Wortel / kg,kg,8677,Juni,2018
Buncis,kg,10314,Juni,2018
Daging Ayam Broiler,kg,36175,Juni,2020
Ikan Kembung / kg,kg,27530,Juni,2018
ikan Tuna / kg,kg,34396,Juni,2018
Ikan Tongkol / kg,kg,27256,Juni,2018
Ikan Cakalang / kg,kg,28341,Juni,2018
Beras Bengawan,kg,11322,Juli,2018
Beras Mentik,kg,11019,Juli,2018
Beras IR 64,kg,9415,Juli,2018
Gula Pasir Dalam Negri / kg,kg,11164,Juli,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11705,Juli,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26490,Juli,2018
Minyak Goreng Curah / kg (liter),kg,11152,Juli,2018
Daging Sapi Murni / kg,kg,108489,Juli,2018
Daging Ayam Broiler,kg,33405,Juli,2020
Daging Ayam Broiler,kg,28601,Agustus,2020
Telur Ayam Ras (Petelur) / kg,kg,24164,Juli,2018
Daging Ayam Broiler,kg,28019,September,2020
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9946,Juli,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9827,Juli,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38226,Juli,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36098,Juli,2018
Jagung Pipilan Kering / kg,kg,5901,Juli,2018
Garam Beryodium Bata / buah,Buah,1153,Juli,2018
Daging Ayam Broiler,kg,28292,Oktober,2020
Tepung Terigu / kg,kg,7834,Juli,2018
Kacang Kedelai Eks Impor / kg,kg,8340,Juli,2018
Kacang Kedelai Lokal,kg,8651,Juli,2018
